gi|39933080:2131667-2131987.
gi|39933080:2131984-2132394.
gi|39933080:2132407-2132814.
gi|39933080:2132824-2133326.
gi|39933080:2133338-2133931.
gi|39933080:2134093-2134731.
gi|39933080:2136963-2137874.
gi|39933080:2137914-2138366.
gi|39933080:2141169-2145041.
gi|39933080:2128329-2129489.
gi|39933080:2120319-2120996.
gi|39933080:2121168-2122421.
gi|39933080:2118601-2119788.
AF189160.2
M64976.1
gi|6467532:61-1242.
gi|6467532:1428-2618.
gi|6467532:2866-3420.
gi|6467532:3452->3760.
RRC02401.
RRC03805.
RRC03806.
RRC04617.
ORF00001.	ORF02382	ORF00001
ORF00002.	ORF03525	ORF03202	ORF02381	ORF00987	ORF00002	ORF03036	ORF02740	ORF01534
ORF00003.	ORF01535	ORF00003
ORF00004.	ORF01536	ORF00004
ORF00005.	ORF01537	ORF00005
ORF00006.	ORF01538	ORF00006
ORF00007.	ORF01539	ORF00007
ORF00008.	ORF01540	ORF00008
ORF00009.	ORF01541	ORF00009
ORF00010.	ORF01542	ORF00010
ORF00011.	ORF03844	ORF00011
ORF00012.	ORF00012
ORF00990.	ORF00990
ORF00991.	ORF00991
ORF00992.	ORF00992
ORF00993.	ORF00993
ORF00994.	ORF00994
ORF00995.	ORF00995
ORF00996.	ORF00996
ORF00997.	ORF00997
ORF00998.	ORF00998
ORF00999.	ORF00999
ORF01000.	ORF01000
ORF01001.	ORF01001
ORF01002.	ORF01002
ORF01003.	ORF01003
ORF01004.	ORF01004
ORF01005.	ORF01005
ORF01006.	ORF01006
ORF01007.	ORF01007
ORF01008.	ORF01008
ORF01009.	ORF01009
ORF01010.	ORF01010
ORF01011.	ORF01011
ORF01012.	ORF01012
ORF01013.	ORF01013
ORF01014.	ORF01014
ORF01015.	ORF01015
ORF01016.	ORF01016
ORF01017.	ORF01017
ORF01018.	ORF01018
ORF01019.	ORF01019
ORF01020.	ORF01020
ORF01021.	ORF01021
ORF01022.	ORF01022
ORF01023.	ORF01023
ORF01024.	ORF01024
ORF01025.	ORF01025
ORF01026.	ORF01026
ORF01027.	ORF01027
ORF01028.	ORF01028
ORF01029.	ORF01029
ORF01030.	ORF01030
ORF01031.	ORF01031
ORF01032.	ORF01032
ORF01033.	ORF01033	ORF03179
ORF01034.	ORF01034
ORF01035.	ORF01035
ORF01036.	ORF01036
ORF01037.	ORF01037
ORF01038.	ORF01038
ORF01039.	ORF01039
ORF01040.	ORF01040
ORF01041.	ORF01041
ORF01042.	ORF01042
ORF01043.	ORF01043
ORF01044.	ORF01044
ORF01045.	ORF01045
ORF01046.	ORF01046
ORF01047.	ORF01047
ORF01048.	ORF01048
ORF01049.	ORF01049
ORF01050.	ORF01050
ORF01051.	ORF01051
ORF01052.	ORF01052
ORF01053.	ORF01053
ORF01054.	ORF01054
ORF01055.	ORF01055
ORF01056.	ORF01056
ORF01057.	ORF01057
ORF01058.	ORF01058
ORF01059.	ORF01059
ORF01060.	ORF01060
ORF01061.	ORF01061
ORF01062.	ORF01062
ORF01063.	ORF01063
ORF01064.	ORF01064
ORF01065.	ORF01065
ORF01066.	ORF01066
ORF01067.	ORF01067
ORF01068.	ORF01068
ORF01069.	ORF01069
ORF01070.	ORF01070
ORF01071.	ORF01461	ORF01071
ORF01072.	ORF01072
ORF01073.	ORF01073
ORF01074.	ORF01074
ORF01075.	ORF01075
ORF01076.	ORF01076
ORF01077.	ORF01077
ORF01078.	ORF01078
ORF01079.	ORF01079
ORF01080.	ORF01080
ORF01081.	ORF01081
ORF01082.	ORF01082
ORF01083.	ORF01083
ORF01084.	ORF01084
ORF01085.	ORF01085
ORF01086.	ORF01086
ORF01087.	ORF01087
ORF01088.	ORF01088
ORF01089.	ORF01089
ORF01090.	ORF01090
ORF01091.	ORF01091
ORF01092.	ORF01092
ORF01093.	ORF01093
ORF01094.	ORF01094
ORF01095.	ORF01095	ORF03262
ORF01096.	ORF01096
ORF01097.	ORF01097
ORF01098.	ORF01098
ORF01099.	ORF01099
ORF01100.	ORF01100
ORF01101.	ORF01101
ORF01102.	ORF01102	ORF01044
ORF01103.	ORF01103
ORF01104.	ORF01104
ORF01105.	ORF01105
ORF01106.	ORF01106
ORF01107.	ORF01107
ORF01108.	ORF01108
ORF01109.	ORF01109
ORF01110.	ORF01110
ORF01111.	ORF01111
ORF01112.	ORF01112
ORF01113.	ORF01113
ORF01114.	ORF01114
ORF01115.	ORF01115
ORF01116.	ORF01116
ORF01117.	ORF01117
ORF01118.	ORF01118
ORF01119.	ORF01119
ORF01120.	ORF01120
ORF01121.	ORF01121
ORF01122.	ORF01122
ORF01123.	ORF01123
ORF01124.	ORF01124
ORF01125.	ORF01125
ORF01126.	ORF01126
ORF01127.	ORF01127
ORF01128.	ORF01128
ORF01129.	ORF01129
ORF01130.	ORF01130
ORF01131.	ORF01131
ORF01132.	ORF01132
ORF01133.	ORF01133
ORF01134.	ORF01134
ORF01135.	ORF01135
ORF01136.	ORF01136
ORF01137.	ORF01137
ORF01138.	ORF01138
ORF01139.	ORF01139
ORF01140.	ORF01140
ORF01141.	ORF01141
ORF01142.	ORF01142
ORF01143.	ORF01143
ORF01144.	ORF01144
ORF01145.	ORF01145
ORF01146.	ORF01146
ORF01147.	ORF01147
ORF01148.	ORF01148
ORF01149.	ORF01149
ORF01150.	ORF01150
ORF01151.	ORF01151
ORF01152.	ORF01152
ORF01153.	ORF01153
ORF01154.	ORF01154
ORF01155.	ORF01155
ORF01156.	ORF01156
ORF01157.	ORF01157
ORF01158.	ORF01158
ORF01159.	ORF01159
ORF01160.	ORF01160
ORF01161.	ORF01161
ORF01162.	ORF01162
ORF01163.	ORF01163
ORF01164.	ORF01164
ORF01166.	ORF01166
ORF01167.	ORF01167
ORF01168.	ORF01168
ORF01169.	ORF01169
ORF01170.	ORF01170
ORF01171.	ORF01171
ORF01172.	ORF01172
ORF01173.	ORF01173
ORF01174.	ORF01174
ORF01175.	ORF01175
ORF01176.	ORF01176
ORF01177.	ORF01177
ORF01178.	ORF01178
ORF01179.	ORF01179
ORF01180.	ORF01180
ORF01181.	ORF01181
ORF01182.	ORF01182
ORF01183.	ORF01183
ORF01184.	ORF01184
ORF01185.	ORF01185
ORF01186.	ORF01186
ORF01187.	ORF01187
ORF01188.	ORF01188
ORF01189.	ORF01189
ORF01190.	ORF01190
ORF01191.	ORF01191
ORF01192.	ORF01192
ORF01193.	ORF01193
ORF01194.	ORF01194
ORF01195.	ORF01195
ORF01196.	ORF01196
ORF01197.	ORF01197
ORF01198.	ORF01198
ORF01199.	ORF01199
ORF01200.	ORF01200
ORF01201.	ORF01201
ORF01202.	ORF01202
ORF01203.	ORF01203
ORF01204.	ORF01204
ORF01205.	ORF01205
ORF01206.	ORF01206
ORF01207.	ORF01207
ORF01208.	ORF01208
ORF01209.	ORF01209
ORF01210.	ORF01210
ORF01211.	ORF01211
ORF01212.	ORF01212
ORF01213.	ORF01213
ORF01214.	ORF01214
ORF01215.	ORF01215
ORF01216.	ORF01216
ORF01217.	ORF01217
ORF01218.	ORF01218
ORF01219.	ORF01219
ORF01220.	ORF01220
ORF01221.	ORF01221
ORF01222.	ORF01222
ORF01223.	ORF01223
ORF01224.	ORF01224
ORF01225.	ORF01225
ORF01226.	ORF01226
ORF01227.	ORF01227	ORF01226
ORF01228.	ORF01228
ORF01229.	ORF01229
ORF01230.	ORF01230
ORF01231.	ORF01231
ORF01232.	ORF01232
ORF01233.	ORF01233
ORF01234.	ORF01234
ORF01235.	ORF01235
ORF01236.	ORF01236	ORF02737
ORF01237.	ORF01237
ORF01238.	ORF01238
ORF01239.	ORF01239
ORF01240.	ORF01240
ORF01241.	ORF01241
ORF01242.	ORF01242
ORF01244.	ORF01244
ORF01245.	ORF01245
ORF01246.	ORF01246
ORF01247.	ORF01247
ORF01248.	ORF01248
ORF01249.	ORF01249
ORF01250.	ORF01250
ORF01251.	ORF01251
ORF01252.	ORF01252
ORF01253.	ORF01253
ORF01254.	ORF01254
ORF01255.	ORF01255
ORF01256.	ORF01256
ORF01257.	ORF01257
ORF01258.	ORF01258
ORF01259.	ORF01259
ORF01260.	ORF01260
ORF01261.	ORF01261
ORF01262.	ORF01262
ORF01263.	ORF01263
ORF01264.	ORF01264
ORF01265.	ORF01265
ORF01266.	ORF01266
ORF01267.	ORF01267
ORF01268.	ORF01268
ORF01269.	ORF01269
ORF01270.	ORF01270
ORF01271.	ORF01271
ORF01272.	ORF01272
ORF01273.	ORF01273
ORF01274.	ORF01274
ORF01275.	ORF01275
ORF01276.	ORF01276
ORF01277.	ORF01277
ORF01278.	ORF01278
ORF01279.	ORF01279
ORF01280.	ORF01280
ORF01281.	ORF01281
ORF01282.	ORF01282
ORF01283.	ORF01283
ORF01284.	ORF01284
ORF01285.	ORF01285
ORF01286.	ORF01286
ORF01287.	ORF01287
ORF01288.	ORF01288
ORF01289.	ORF01289
ORF01290.	ORF01290	ORF01553
ORF01291.	ORF01291
ORF01292.	ORF01292
ORF01293.	ORF01293
ORF01294.	ORF01294
ORF01295.	ORF01295
ORF01296.	ORF01296
ORF01297.	ORF01297
ORF01298.	ORF01298
ORF01299.	ORF01299
ORF01300.	ORF01300
ORF01301.	ORF01301
ORF01302.	ORF01302
ORF01303.	ORF01303
ORF01304.	ORF01304
ORF01305.	ORF01305
ORF01306.	ORF01306
ORF01307.	ORF01307
ORF01308.	ORF01308
ORF01309.	ORF01309
ORF01310.	ORF01310
ORF01311.	ORF01311
ORF01312.	ORF01312
ORF01313.	ORF01313
ORF01314.	ORF01314
ORF01315.	ORF01315
ORF01316.	ORF01316
ORF01317.	ORF01317
ORF01318.	ORF01318
ORF01319.	ORF01319
ORF01320.	ORF01320
ORF01321.	ORF01321
ORF01322.	ORF01322
ORF01323.	ORF01323
ORF01324.	ORF01324
ORF01325.	ORF01325
ORF01326.	ORF01326
ORF01327.	ORF01327
ORF01328.	ORF01328
ORF01329.	ORF01329
ORF01330.	ORF01330
ORF01331.	ORF01331
ORF01332.	ORF01332
ORF01333.	ORF01333
ORF01334.	ORF01334
ORF01335.	ORF01335
ORF01336.	ORF01336
ORF01337.	ORF01337
ORF01338.	ORF01338
ORF01339.	ORF01339
ORF01340.	ORF01340
ORF01341.	ORF01341
ORF01342.	ORF01342
ORF01343.	ORF01343
ORF01344.	ORF01344
ORF01345.	ORF01345
ORF01346.	ORF01346
ORF01347.	ORF01347	ORF03125
ORF01348.	ORF01348
ORF01349.	ORF01349
ORF01350.	ORF01350
ORF01351.	ORF01351
ORF01352.	ORF01352	ORF01353
ORF01353.	ORF01353
ORF01354.	ORF01354
ORF01355.	ORF01355
ORF01356.	ORF01356
ORF01357.	ORF01357	ORF01777
ORF01358.	ORF01358
ORF01359.	ORF01359
ORF01360.	ORF01360
ORF01361.	ORF01361
ORF01362.	ORF01362
ORF01363.	ORF01363
ORF01364.	ORF01364
ORF01365.	ORF01365
ORF01366.	ORF01366
ORF01367.	ORF01367
ORF01368.	ORF01368
ORF01369.	ORF01369
ORF01370.	ORF01370
ORF01371.	ORF01371
ORF01372.	ORF01372
ORF01373.	ORF01373
ORF01374.	ORF01374
ORF01375.	ORF01375
ORF01376.	ORF01376
ORF01377.	ORF01377
ORF01378.	ORF01378
ORF01379.	ORF01379
ORF01380.	ORF01380	ORF02682
ORF01381.	ORF01381
ORF01382.	ORF01382
ORF01383.	ORF01383
ORF01384.	ORF01384
ORF01385.	ORF01385
ORF01386.	ORF01386
ORF01387.	ORF01387
ORF01388.	ORF01388
ORF01389.	ORF01389
ORF01390.	ORF01390
ORF01391.	ORF01391
ORF01392.	ORF01392
ORF01393.	ORF01393
ORF01394.	ORF01394
ORF01395.	ORF01395	ORF00458
ORF01396.	ORF01396
ORF01397.	ORF01397
ORF01398.	ORF01398
ORF01399.	ORF01399
ORF01400.	ORF01400
ORF01401.	ORF01401
ORF01402.	ORF01402
ORF01403.	ORF01403
ORF01404.	ORF01404
ORF01405.	ORF01405
ORF01406.	ORF01406
ORF01407.	ORF01407
ORF01408.	ORF01408
ORF01409.	ORF01409
ORF01410.	ORF01410
ORF01411.	ORF01411
ORF01412.	ORF01412
ORF01413.	ORF01413
ORF01414.	ORF01414
ORF01415.	ORF01415
ORF01416.	ORF01416
ORF01417.	ORF01417
ORF01418.	ORF01418
ORF01419.	ORF01419
ORF01420.	ORF01420
ORF01421.	ORF01421
ORF01422.	ORF01422
ORF01423.	ORF01423
ORF01424.	ORF01424
ORF01425.	ORF01425
ORF01426.	ORF01426
ORF01427.	ORF01427
ORF01428.	ORF01428
ORF01429.	ORF01429
ORF01430.	ORF01430
ORF01431.	ORF01431
ORF01432.	ORF01432	ORF03375
ORF01433.	ORF01433
ORF01434.	ORF01434
ORF01435.	ORF01435
ORF01436.	ORF01436
ORF01437.	ORF01437
ORF01438.	ORF01438
ORF01439.	ORF01439
ORF01440.	ORF01440
ORF01441.	ORF01441
ORF01442.	ORF01442
ORF01443.	ORF01443
ORF01444.	ORF01444
ORF01445.	ORF01445
ORF01446.	ORF01446
ORF01447.	ORF01447
ORF01448.	ORF01448
ORF01449.	ORF01449
ORF01450.	ORF01450
ORF01451.	ORF01451
ORF01452.	ORF01452
ORF01453.	ORF01453
ORF01454.	ORF01454
ORF01455.	ORF01455
ORF01456.	ORF01456	ORF01455
ORF01457.	ORF01457
ORF01458.	ORF01458
ORF01459.	ORF01459
ORF01460.	ORF01460
ORF01461.	ORF01461	ORF01071
ORF01462.	ORF01462
ORF01463.	ORF01463
ORF01464.	ORF01464
ORF01465.	ORF01465
ORF01466.	ORF01466
ORF01467.	ORF01467
ORF01468.	ORF01468
ORF01469.	ORF01469
ORF01470.	ORF01470
ORF01471.	ORF01471
ORF01472.	ORF01472
ORF01473.	ORF01473
ORF01474.	ORF01474
ORF01475.	ORF01475
ORF01476.	ORF01476
ORF01477.	ORF01477
ORF01478.	ORF01478
ORF01479.	ORF01479
ORF01480.	ORF01480
ORF01481.	ORF01481
ORF01482.	ORF01482
ORF01483.	ORF01483
ORF01484.	ORF01484
ORF01485.	ORF01485
ORF01486.	ORF01486
ORF01487.	ORF01487
ORF01488.	ORF01488
ORF01489.	ORF01489
ORF01490.	ORF01490
ORF01491.	ORF01491
ORF01492.	ORF01492
ORF01493.	ORF01493
ORF01494.	ORF01494
ORF01495.	ORF01495
ORF01496.	ORF01496
ORF01497.	ORF01497
ORF01498.	ORF01498
ORF01499.	ORF01499
ORF01500.	ORF01500
ORF01501.	ORF01501
ORF01502.	ORF01502
ORF01503.	ORF01503
ORF01504.	ORF01504
ORF01505.	ORF01505
ORF01506.	ORF01506
ORF01507.	ORF01507
ORF01508.	ORF01508
ORF01509.	ORF01509
ORF01510.	ORF01510
ORF01511.	ORF01511
ORF01512.	ORF01512
ORF01513.	ORF01513
ORF01514.	ORF01514
ORF01515.	ORF01515
ORF01516.	ORF01516
ORF01517.	ORF01517
ORF01518.	ORF01518
ORF01519.	ORF01519
ORF01520.	ORF01520
ORF01521.	ORF01521
ORF01522.	ORF01522
ORF01523.	ORF01523
ORF01524.	ORF01524
ORF01525.	ORF01525
ORF01526.	ORF01526
ORF01527.	ORF01527
ORF01528.	ORF01528
ORF01529.	ORF01529
ORF01530.	ORF01530
ORF01531.	ORF01531
ORF01532.	ORF01532
ORF01533.	ORF01533
ORF01534.	ORF03036	ORF02740	ORF01534	ORF03525	ORF03202	ORF02381	ORF00987	ORF00002
ORF01535.	ORF01535	ORF00003
ORF01536.	ORF01536	ORF00004
ORF01538.	ORF01538	ORF00006
ORF01539.	ORF01539	ORF00007
ORF01540.	ORF01540	ORF00008
ORF01542.	ORF01542
ORF01543.	ORF01543
ORF01544.	ORF01544
ORF01545.	ORF01545
ORF01546.	ORF01546
ORF01547.	ORF01547
ORF01548.	ORF01548
ORF01549.	ORF01549
ORF01550.	ORF01550
ORF01551.	ORF01551
ORF01552.	ORF01552
ORF01553.	ORF01553
ORF01554.	ORF01554
ORF01555.	ORF01555
ORF01556.	ORF01556
ORF01557.	ORF01557
ORF01558.	ORF01558
ORF01559.	ORF01559
ORF01560.	ORF01560
ORF01561.	ORF01561
ORF01562.	ORF01562
ORF01563.	ORF01563
ORF01564.	ORF01564
ORF01565.	ORF01565
ORF01566.	ORF01566
ORF01567.	ORF01567
ORF01568.	ORF01568
ORF01569.	ORF01569	ORF03872
ORF01570.	ORF01570
ORF01571.	ORF01571
ORF01572.	ORF01572
ORF01573.	ORF01573
ORF01574.	ORF01574
ORF01575.	ORF01575
ORF01576.	ORF01576
ORF01577.	ORF01577
ORF01578.	ORF01578
ORF01579.	ORF01579
ORF01580.	ORF01580
ORF01581.	ORF01581
ORF01582.	ORF01582
ORF01583.	ORF01583
ORF01584.	ORF01584
ORF01585.	ORF01585
ORF01586.	ORF01586
ORF01588.	ORF01588
ORF01589.	ORF01589
ORF01590.	ORF01590
ORF01591.	ORF01591
ORF01592.	ORF01592
ORF01593.	ORF01593
ORF01594.	ORF01594
ORF01595.	ORF01595
ORF01596.	ORF01596
ORF01597.	ORF01597
ORF01598.	ORF01598
ORF01599.	ORF01599
ORF01600.	ORF01600
ORF01601.	ORF01601
ORF01602.	ORF01602
ORF01603.	ORF01603
ORF01604.	ORF01604
ORF01605.	ORF01605
ORF01606.	ORF01606
ORF01607.	ORF01607
ORF01608.	ORF01608
ORF01609.	ORF01609
ORF01610.	ORF01610
ORF01611.	ORF01611
ORF01612.	ORF01612
ORF01613.	ORF01613
ORF01614.	ORF01614
ORF01615.	ORF01615
ORF01616.	ORF01616
ORF01617.	ORF01617
ORF01618.	ORF01618
ORF01619.	ORF01619
ORF01620.	ORF01620
ORF01621.	ORF01621
ORF01622.	ORF01622
ORF01623.	ORF01623
ORF01624.	ORF01624
ORF01625.	ORF01625
ORF01626.	ORF01626	ORF02110
ORF01627.	ORF01627
ORF01628.	ORF01628
ORF01629.	ORF01629	ORF03553
ORF01630.	ORF01630	tRNA-Thr-2
ORF01631.	ORF01631
ORF01632.	ORF01632
ORF01633.	ORF01633
ORF01634.	ORF01634
ORF01635.	ORF01635
ORF01636.	ORF01636
ORF01637.	ORF01637
ORF01638.	ORF01638
ORF01639.	ORF01639
ORF01640.	ORF01640
ORF01641.	ORF01641
ORF01642.	ORF01642
ORF01643.	ORF01643
ORF01644.	ORF01644
ORF01645.	ORF01645
ORF01646.	ORF01646
ORF01647.	ORF01647
ORF01648.	ORF01648
ORF01649.	ORF01649
ORF01650.	ORF01650
ORF01651.	ORF01651
ORF01652.	ORF01652
ORF01653.	ORF01653
ORF01654.	ORF01654
ORF01655.	ORF01655
ORF01656.	ORF01656
ORF01657.	ORF01657
ORF01658.	ORF01658
ORF01659.	ORF01659
ORF01660.	ORF01660
ORF01661.	ORF03620	ORF01661	ORF00478	ORF02688	ORF01702
ORF01662.	ORF01662	ORF03619	ORF02687	ORF00477
ORF01663.	ORF01663
ORF01664.	ORF01664
ORF01665.	ORF01665
ORF01666.	ORF01666
ORF01667.	ORF01667
ORF01668.	ORF01668
ORF01669.	ORF01669
ORF01670.	ORF01670
ORF01671.	ORF01671
ORF01672.	ORF01672
ORF01673.	ORF01673
ORF01674.	ORF01674
ORF01675.	ORF01675
ORF01676.	ORF01676
ORF01677.	ORF01677
ORF01678.	ORF01678
ORF01679.	ORF01679
ORF01680.	ORF01680
ORF01681.	ORF01681
ORF01682.	ORF01682	ORF00320
ORF01684.	ORF01684
ORF01685.	ORF01685
ORF01686.	ORF01686
ORF01687.	ORF01687
ORF01688.	ORF01688
ORF01689.	ORF01689
ORF01690.	ORF01690
ORF01691.	ORF01691	ORF02086
ORF01692.	ORF01692
ORF01693.	ORF01693
ORF01694.	ORF01694
ORF01695.	ORF01695
ORF01696.	ORF01696
ORF01697.	ORF01697
ORF01698.	ORF01698
ORF01699.	ORF01699
ORF01700.	ORF01700
ORF01701.	ORF03619	ORF01701	ORF01662	ORF00477	ORF02687
ORF01702.	ORF02688	ORF01702	ORF03620	ORF01661	ORF00478
ORF01703.	ORF01703
ORF01704.	ORF01704
ORF01705.	ORF01705
ORF01706.	ORF01706
ORF01707.	ORF01707
ORF01708.	ORF01708
ORF01709.	ORF01709	ORF02796
ORF01710.	ORF01710
ORF01711.	ORF01711
ORF01712.	ORF01712
ORF01713.	ORF01713
ORF01714.	ORF01714
ORF01715.	ORF01715
ORF01716.	ORF01716
ORF01717.	ORF01717
ORF01718.	ORF01718
ORF01719.	ORF01719
ORF01720.	ORF01720
ORF01721.	ORF01721	ORF00189	ORF02091	ORF01854
ORF01722.	ORF01722
ORF01723.	ORF01723
ORF01724.	ORF01724
ORF01725.	ORF01725
ORF01726.	ORF01726
ORF01727.	ORF01727
ORF01728.	ORF01728
ORF01729.	ORF01729
ORF01730.	ORF01730
ORF01731.	ORF01731
ORF01732.	ORF01732
ORF01733.	ORF01733
ORF01734.	ORF01734
ORF01735.	ORF01735
ORF01736.	ORF01736
ORF01737.	ORF01737
ORF01738.	ORF01738
ORF01739.	ORF01739
ORF01740.	ORF01740
ORF01741.	ORF01741
ORF01742.	ORF01742
ORF01743.	ORF01743
ORF01744.	ORF01744
ORF01745.	ORF01745
ORF01746.	ORF01746
ORF01747.	ORF01747
ORF01748.	ORF01748
ORF01749.	ORF01749
ORF01750.	ORF01750
ORF01751.	ORF01751
ORF01752.	ORF01752
ORF01753.	ORF01753
ORF01754.	ORF01754
ORF01755.	ORF01755
ORF01756.	ORF01756
ORF01757.	ORF01757
ORF01758.	ORF01758
ORF01759.	ORF01759
ORF01760.	ORF01760	ORF01759
ORF01761.	ORF01761
ORF01762.	ORF01762
ORF01763.	ORF01763
ORF01764.	ORF01764
ORF01765.	ORF01765
ORF01766.	ORF01766
ORF01767.	ORF01767
ORF01768.	ORF01768
ORF01769.	ORF01769
ORF01770.	ORF01770
ORF01771.	ORF01771
ORF01772.	ORF01772
ORF01773.	ORF01773
ORF01774.	ORF01774
ORF01775.	ORF01775
ORF01776.	ORF01776	ORF03331
ORF01777.	ORF01777
ORF01778.	ORF01778
ORF01779.	ORF01779
ORF01780.	ORF01780
ORF01781.	ORF01781
ORF01782.	ORF01782
ORF01783.	ORF01783
ORF01784.	ORF01784
ORF01785.	ORF01785
ORF01786.	ORF01786
ORF01787.	ORF01787
ORF01788.	ORF01788
ORF01789.	ORF01789
ORF01790.	ORF01790
ORF01791.	ORF01791
ORF01792.	ORF01792
ORF01793.	ORF01793
ORF01794.	ORF01794
ORF01795.	ORF01795
ORF01796.	ORF01796
ORF01797.	ORF01797
ORF01798.	ORF01798
ORF01799.	ORF01799
ORF01800.	ORF01800
ORF01801.	ORF01801
ORF01802.	ORF01802
ORF01803.	ORF01803
ORF01804.	ORF01804
ORF01805.	ORF01805
ORF01806.	ORF01806
ORF01807.	ORF01807
ORF01808.	ORF01808
ORF01809.	ORF01809
ORF01810.	ORF01810
ORF01811.	ORF01811
ORF01812.	ORF01812
ORF01813.	ORF01813
ORF01814.	ORF01814
ORF01815.	ORF01815
ORF01816.	ORF01816
ORF01817.	ORF01817
ORF01818.	ORF01818
ORF01819.	ORF01819
ORF01820.	ORF01820
ORF01821.	ORF01821
ORF01822.	ORF01822
ORF01823.	ORF01823
ORF01824.	ORF01824
ORF01825.	ORF01825
ORF01826.	ORF01826
ORF01827.	ORF01827
ORF01828.	ORF01828	ORF01517
ORF01829.	ORF01829
ORF01830.	ORF01830
ORF01831.	ORF01831
ORF01832.	ORF01832
ORF01833.	ORF01833
ORF01834.	ORF01834
ORF01835.	ORF01835
ORF01836.	ORF01836
ORF01837.	ORF01837
ORF01838.	ORF01838
ORF01839.	ORF01839
ORF01840.	ORF01840
ORF01841.	ORF01841
ORF01842.	ORF01842
ORF01843.	ORF01843
ORF01844.	ORF01844
ORF01845.	ORF01845
ORF01846.	ORF01846
ORF01847.	ORF01847
ORF01848.	ORF01848
ORF01849.	ORF01849
ORF01850.	ORF01850
ORF01851.	ORF01851
ORF01852.	ORF01852
ORF01853.	ORF01853
ORF01854.	ORF01854
ORF01856.	ORF01856
ORF01857.	ORF01857
ORF01858.	ORF01858
ORF01859.	ORF01859
ORF01860.	ORF01860
ORF01861.	ORF01861
ORF01862.	ORF01862
ORF01863.	ORF01863
ORF01864.	ORF01864
ORF01865.	ORF01865
ORF01866.	ORF01866
ORF01867.	ORF01867
ORF01868.	ORF01868	ORF03153
ORF01869.	ORF01869
ORF01870.	ORF01870
ORF01871.	ORF01871
ORF01872.	ORF01872
ORF01873.	ORF01873
ORF01874.	ORF01874
ORF01875.	ORF01875
ORF01876.	ORF01876
ORF01877.	ORF01877
ORF01878.	ORF01878
ORF01879.	ORF01879
ORF01880.	ORF01880
ORF01881.	ORF01881
ORF01882.	ORF01882
ORF01883.	ORF01883
ORF01884.	ORF01884
ORF01885.	ORF01885
ORF01886.	ORF01886	ORF00933
ORF01887.	ORF01887
ORF01888.	ORF01888
ORF01889.	ORF01889
ORF01890.	ORF01890
ORF01891.	ORF01891
ORF01892.	ORF01892
ORF01893.	ORF01893
ORF01894.	ORF01894
ORF01895.	ORF01895
ORF01896.	ORF01896
ORF01897.	ORF01897
ORF01898.	ORF01898
ORF01899.	ORF01899
ORF01900.	ORF01900
ORF01901.	ORF01901
ORF01902.	ORF01902
ORF01903.	ORF01903
ORF01904.	ORF01904
ORF01905.	ORF01905
ORF01906.	ORF01906
ORF01907.	ORF01907
ORF01908.	ORF01908
ORF01909.	ORF01909
ORF01910.	ORF01910
ORF01911.	ORF01911
ORF01912.	ORF01912
ORF01913.	ORF01913
ORF01914.	ORF01914
ORF01915.	ORF01915
ORF01916.	ORF01916
ORF01917.	ORF01917
ORF01918.	ORF01918
ORF01919.	ORF01919
ORF01920.	ORF01920
ORF01921.	ORF01921
ORF01922.	ORF01922
ORF01923.	ORF01923
ORF01924.	ORF01924
ORF01925.	ORF01925
ORF01926.	ORF01926
ORF01927.	ORF01927
ORF01928.	ORF01928
ORF01929.	ORF01929
ORF01930.	ORF01930
ORF01931.	ORF01931
ORF01932.	ORF01932
ORF01933.	ORF01933
ORF01934.	ORF01934
ORF01935.	ORF01935
ORF01936.	ORF01936
ORF01937.	ORF01937
ORF01938.	ORF01938
ORF01939.	ORF01939	ORF03363
ORF01940.	ORF01940
ORF01941.	ORF01941
ORF01942.	ORF01942
ORF01943.	ORF01943
ORF01944.	ORF01944
ORF01945.	ORF01945
ORF01946.	ORF01946
ORF01947.	ORF01947
ORF01948.	ORF01948
ORF01949.	ORF01949
ORF01950.	ORF01950
ORF01951.	ORF01951
ORF01952.	ORF01952
ORF01953.	ORF01953
ORF01954.	ORF01954
ORF01955.	ORF01955
ORF01956.	ORF01956
ORF01957.	ORF01957
ORF01958.	ORF01958
ORF01959.	ORF01959
ORF01960.	ORF01960
ORF01961.	ORF01961
ORF01962.	ORF01962
ORF01963.	ORF01963
ORF01964.	ORF01964
ORF01965.	ORF01965
ORF01966.	ORF01966
ORF01967.	ORF01967
ORF01968.	ORF01968
ORF01969.	ORF01969
ORF01970.	ORF01970
ORF01971.	ORF01971
ORF01972.	ORF01972
ORF01973.	ORF01973
ORF01974.	ORF01974
ORF01975.	ORF01975
ORF01976.	ORF01976
ORF01977.	ORF01977
ORF01978.	ORF01978
ORF01979.	ORF01979
ORF01980.	ORF01980
ORF01981.	ORF01981
ORF01982.	ORF01982
ORF01983.	ORF01983
ORF01984.	ORF01984
ORF01985.	ORF01985	ORF00103
ORF01986.	ORF01986
ORF01987.	ORF01987
ORF01988.	ORF01988
ORF01989.	ORF01989
ORF01990.	ORF01990	ORF03206
ORF01991.	ORF01991
ORF01992.	ORF01992
ORF01993.	ORF01993
ORF01994.	ORF01994
ORF01995.	ORF01995
ORF01996.	ORF01996
ORF01997.	ORF01997
ORF01998.	ORF01998
ORF01999.	ORF01999
ORF02000.	ORF02000
ORF02001.	ORF02001
